"id","name_tc","description_tc","slug"
"12","美國-實質GDP","國內生產毛額（Gross Domestic Product，GDP），指一國在一段特定期間內，所生產的最終勞動或商品的總價值，為衡量一個國家經濟狀況和發展水平的重要經濟指標。未剔除通膨影響前為「名目 GDP 」，剔除通膨影響則稱為「實質 GDP 」，較能反映真實經濟成長。

GDP 統計方式每個國家略有不同，美國採直接公佈季調年化 GDP 絕對值，將當季數值經季節調整後乘以 4，折算成年度數據（Seasonally adjusted annual rate, SAAR）的絕對值，因此美國公佈的 GDP 可以直接視為當季預估的全年 GDP 絕對值。

而 GDP 數據經上述調整後，可以再分別計算「年增率」及「季增年率」。
1. 年增率：將今年當季與去年同季相比。
2. 季增年率：將最新一季的年度數據與前一季做對比，並換算成年率（4 次方）。

美國公佈的 GDP 市場多關注季增年增率，但該數值以單季增速進行年化，所以變動較劇烈，M平方認為年增率同樣重要，美國 GDP 年增率若能維持在 2%，代表經濟仍然強勁！

註：上述計算各國都有自己的慣用方式。如美國慣用季調年化 GDP 絕對值，並分別計算成年增率、季增年率；歐盟則同時公佈季增率、年增率；日本、韓國及台灣同時公佈 3 種經濟成長率，台灣市場則習慣觀察年增率。","real-gdp-growth"
"13","美國-實質GDP內涵(季增年率)","美國 GDP 細項可以分成四大部分：消費、投資、政府支出、淨出口（出口 - 進口）。消費佔美國 GDP 七成，反映美國是個消費大國，消費力道影響總體經濟的變化甚巨。

季增年率：將最新一季的年度數據與前一季做對比，並換算成年率（4 次方）。","real-cigxm-growth"
"14","美國-實質GDP內涵(貢獻度)","GDP 分項實質貢獻度，等於各分項佔比乘以各分項成長率。

目前美國 GDP 佔比中，消費支出佔比達七成，為美國經濟成長主要貢獻來源。當消費支出成長率亮眼或疲軟時，也會較大幅度的影響美國經濟。","real-cigxm-contribution"
"17","美國-商品與服務貿易(年增率)","美國為進口國，因此其內需的強弱影響其他各國的經濟，再進而影響美國出口，因此進出口走勢亦步亦趨。當美國與其他國家景氣趨緩時，美國進出口（年增率）將出現明顯震盪回落。","exports-imports"
"18","美國-勞動參與率","勞動參與率可用來衡量人們參與經濟生產活動的比例，其計算公式為，勞動參與率 = 勞動參與人口 / 民眾非機構人口。部分名詞解釋如下：

1. 民眾非機構人口：16 歲以上人口，排除現役軍人、監牢中犯人、被限制在療養院人口。
2. 勞動參與人口（又稱勞動力）：年齡 16 歲以上的就業、失業人口加總。
3. 非勞動力人口：16 歲以上的勞動參與人口中，就業報告調查期間沒有工作，並且 4 週內沒有積極尋找工作或是被臨時裁員的人。

美國當前的勞動參與率處於 40 年來較低水準，顯示美國勞動年齡提高，戰後嬰兒潮開始步入退休生活。","us-labor-participation-rate"
"19","美國-初次與連續申請失業救濟金人數","初次申請失業救濟金人數（Unemployment Insurance Weekly Claims, UI Claims）由美國勞動部於每週四公佈上週數據，反映美國 1 週內失業或無薪假的人數變動，可用於預測「失業率」及「非農就業」，為勞動市場的領先指標。該數據並無季節性調整，容易受到短期事件（如颶風）影響波動，可同步觀察「 4 週平均初次申請救濟金人數」觀察平滑趨勢。

連續申請失業救濟金人數（UI Continued Claims）是指已領過失業救濟金，但後尚未找到工作，並於上週持續申請救濟金者。原則上，美國勞工可以連續申請 26 週，不過各州情況不太相同。此外， 2020 年因肺炎疫情爆發，美國政府亦通過追加，延長週數最多至 39 週。

初次申請失業救濟金人數的數據較領先，但不確定因子亦較高，連續申請失業救濟金人數的數據則較可反映真正影響就業市場的狀況。當兩者同步下跌時，意味著就業市場好轉，景氣有回升跡象；而當兩者漲跌互見時，則意味就業市場前景尚未明朗，須持續留意。

註 1：申請失業救濟金必須符合官方所訂定的資格，否則可能無法通過申請。
註 2：兩數據公佈時間相同，但涵蓋期間不同。將於每週四公佈上週的初領申請失業救濟金人數，與上上週的連續申請失業救濟金人數。","initial-jobless-claims"
"20","美國-每小時薪資&僱傭成本指數(年增率)","每小時薪資，是統計僱員加班、晚班加給及小費的薪資總收入，但不包含公司福利、不定期獎金及工資稅等，可實際反映僱員收入。

美國僱傭成本指數（Employment Cost Index, ECI），是統計企業支付勞工薪資、健康保險等福利的成本，ECI 的增長會大幅降低企業利潤，並提高企業轉嫁成本給消費者的可能，因此被聯準會視為薪資通膨螺旋是否發生的重要指標。","wage-growth"
"22","美國-消費者信心指數","由於「消費」佔美國整體 GDP 七成，因此經濟諮商局（The Conference Board）與密西根大學公佈的消費者信心指數相當受到重視。透過抽樣調查，反映當前消費者對未來六個月的經濟前景、收入水平、收入預期及消費心理狀態的主觀感受。

經濟諮商局每月針對 5,000 戶家庭進行調查，於每月最後一個週二公佈當月值。該調查由以下五個問題組成：

1. 當前的整體財務收支狀況
2. 預期未來 6 個月的整體財務收支狀況
3. 當前的就業狀況
4. 預期未來 6 個月的就業狀況
5. 預期未來 6 個月的家庭總收入

而密西根大學主要針對 500 名成年消費者進行調查，報告分為初值及終值，初值於每月十號前後公佈，終值則在月底公佈。通常初值對於市場影響較大。

經濟諮商局與密西根大學所公佈的數據，兩者最大的差異在於，前者反映「一般民間消費」、「就業情形」；後者則反映「耐久財消費」。","consumer-confidence"
"23","美國-儲蓄率vs.消費支出","美國經濟分析局（BEA）於每月月底公佈前 1 個月的儲蓄率、個人消費支出及個人可支配所得，藉由每月公佈的數據，能夠初估當季的經濟成長。

儲蓄率為個人儲蓄佔可支配所得的比重，是檢視市場對景氣看法的重要指標之一，同時也可看出消費者是否有足夠的銀彈進行消費。 ","saving-rate"
"24","美國-房租物價指數","CPI 房屋項目中，房租的兩大項目為：主要住宅租金、所有權人約當租金（Owners' equivalent rent, OER）。主要住宅租金的定義較直觀，即指民眾在市場上租房的花費，佔比約 CPI 的 7 ~ 8%；而所有權人約當租金則是指房屋擁有者將自有住宅於市場上出租所獲得的預期租金，其計算方法是將購屋一次性成本，以租金方式分攤換算成 CPI，佔比約 23 ~ 24% 。由於所有權人約當租金權重佔比較高，一直以來都是美國 CPI 數據的重點觀察細項。

而 PCE 由於是從美國經濟分析局（BEA）公佈的國民收入和產品帳戶（NIPA）進行調查，涵蓋民眾所有類型的消費，包括不由家庭自行支付的消費，例如例如雇主提供給員工並代付的醫療保險費用，所以房屋項目的權重較低，房租佔比約 15 ~ 18% 。","cpi-house"
"25","美國-個人消費支出物價指數[PCE]","個人消費支出物價指數（Personal Consumption Expenditure Price Index，PCE Index）為聯準會的重要觀察指標，以 2% 為目標依據。主要組成項目佔比（由 2024Q1 個人消費支出各細項支出佔比估算，注意權重將隨時間調整）：

1.  商品（35％）：耐久財（10 ~ 15%）、非耐久財（20 ~ 25%）
2.  服務（65%）：住房含能源（15 ~ 18%）、醫療保健（15 ~ 18%）、交通運輸（2 ~ 3%）、休閒娛樂（3 ~ 4%）、餐飲住宿（6 ~ 8%）、金融服務與保險（7 ~ 8%）、其他服務（7 ~ 8%）

與 CPI 相比，PCE 物價指數包含房租的比重較小，較能反映真實通膨情況，此外，也列舉 CPI 與 PCE 兩點差異如下：

1. 指數計算方式：CPI 為拉氏指數（Laspeyres price index），PCE 為費雪指數（Fisher price index），其中費雪指數能夠捕捉替代效果，亦即當某商品物價上漲時，消費者會去購買相對較便宜替代品的情形，因此 PCE 漲幅通常低於 CPI。
2. 覆蓋範圍：CPI 僅考量自付費用支出（out-of-pocket expenditures），PCE 則衡量一切支出，包含自付費用及其他未自付費用，因此部分涵蓋在 PCE 的商品或服務並未出現在 CPI 中，例如雇主提供給員工並代付的醫療保險費用。","pce-price"
"26","美國-各物價指數","生產者物價指數可視為企業生產成本，通常會領先消費者物價。

另外，美國為進口大國，因此進口物價（波動大於出口）也是觀察美國物價的重點之一；不過隨著美國逐漸成為全球最大產油國後，進口物價影響已較過去減少。","price-index"
"27","美國-商品與服務貿易","貿易餘額 = 出口 - 進口，當進口大於出口時，貿易餘額呈現負值，反映美國有貿易赤字。","trade-surplus"
"28","美國-淨出口/GDP","淨出口 = 出口 - 進口，美國長期的貿易逆差導因於經濟快速成長及製造業外移，加上為消費大國，使得美國成為商品的進口國，也讓淨出口佔 GDP 比重為負貢獻。","export-import-gdp"
"30","美國-新屋開工vs.營建許可","新屋開工（Housing Starts）：由美國商務普查局（U.S. Census Bureau）調查各地房屋建築發照單位，以瞭解上個月該地新開工的住宅建案，於每個月月底公佈。調查從房屋建照的發照單位開始，先算出當月已獲建照的房屋總數量，再詢問每張執照的持有者或建商該棟建築物是從哪一月份動工建屋，並將調查資料分成「獨棟房屋」與「連棟房屋」（如公寓）的開工資料。

營建許可（Building Permits）：指建商開工建房子前要先取得的許可執照，與新屋開工同步公佈。有許可，未來才會建造更多房子，因此是領先新屋開工的指標，也被美國商務部列為「領先指標」的組成項目之一。

一般消費者的購屋意願會考量當前與將來的利率水準及經濟前景，因此當消費者購買房屋時，通常代表其看好未來經濟前景，所以新屋開工與營建許可，能夠當作房市及美國經濟的領先指標。

根據美國 GDP 試算，私人投資住宅項目佔國內私人投資約 19 ～ 21%，佔美國 GDP 約 3 ~ 4%，若再加計家具、家用品及住房相關服務等項目，則佔美國 GDP 約 7 ~ 10%，可見房市對於經濟有一定程度的影響力。","housing-start"
"31","美國-成屋銷售","成屋銷售（Existing Home Sales）是由美國「全美不動產協會（NAR）」調查公佈的數據，於每月 25 日前後公佈前 1 個月銷售數字，反映美國整體成屋銷售狀況。

由於房屋消費金額龐大，可說是民眾最大的消費品與資產，且房屋銷售狀況也牽動著家具、家電用品等耐久財，與耐久財訂單高度相關。因此，成屋銷售除了反映房地產的景氣狀況，也同步反映美國製造業，甚至整體景氣的狀態，是市場的先行指標。

而成屋銷售亦跟升、降息變動相關，當處於升息循環、利率攀升時會給予銷售壓力；相對地，當啟動降息時，購屋成本降低，將能促進房市回春。","existing-home-price"
"32","美國-成屋庫存","庫存月數是指「待銷售數量 / 當月已銷售數量」，代表成屋庫存平均須去化的月數，也就是當月消化庫存的能力，數字越低，代表當月銷售狀況越佳。","existing-home"
"33","美國-新屋供需","美國新屋銷售的計算時點在銷售合約簽訂時，通常是在房子未興建以前，因此觀察此數據可了解有多少房屋開始興建，約占全部房屋銷售的 20% 左右。

此外，亦可同步觀察庫存月數。庫存月數是指「待銷售數量／當月已銷售數量」，代表新屋庫存平均須去化的月數，也就是本月消化庫存的能力，數字愈低，代表當月銷售狀況愈佳。","new-house"
"34","美國-新屋銷售","美國新屋銷售由商務部根據建商提供的銷售合約進行統計，於每個月月底公佈。新屋銷售與成屋銷售不同之處在於合約簽訂的時間點，新屋銷售是指房屋在興建之前就被買走（簽訂合約），而非交屋的時間點。因此觀察此數據可瞭解有多少房屋開始興建，約佔全部房屋銷售的 20% 左右。

新屋銷售與成屋銷售變化的意涵雷同，除了顯現住宅部門的景氣狀況，也會影響房屋開工及營建、住宅相關耐久財或非耐久財（如建材，家電，家飾品等）產業。再加上這類消費金額龐大，一般民眾在做購買決策前往往會審慎考慮未來的經濟狀況，因此具有領先經濟指標的特性。通常房屋銷售率持續下降，代表經濟景氣將可能走下坡；反之則預示景氣將出現復甦。

此外，聯準會連續升、降息會影響房貸利率，進而對房屋銷售造成影響，投資人應同步留意。","new-house-price"
"35","美國-房價指數","S&P 全國房價指數：由標準普爾所發佈的房價指數，發佈時間為每月的最後一個週二，公佈前 2 個月的數值。其計算對象以銷售 2 次及以上的單戶住宅為樣本（新屋價格並不計算在此指數中）。單戶住宅是指只有一個居住單元，如獨立式住宅、透天別墅等（公寓大樓為多戶住宅）。此綜合指數以全美國各地區面積佔總合面積比例給予權重，西部洛杉磯及東北紐約權重較大，房價中位數也屬於較高的地區，為組成房價指數的最大影響因素。

S&P 前 20 大房價指數：選擇全美前 20 大城市，依照上述的方式計算。

FHFA 房價指數：由聯邦住房金融局編製，發佈時間為每月的 22 ~ 27 日之間，公佈前 2 個月的數值。數據來源為房利美、房地美這兩家公司針對全美各州單戶住宅所進行的傳統抵押貸款購買或證券化交易的標的。","house-index"
"36","美國-ADP就業人口","美國非官方的就業調查，俗稱「小非農」。

非農與 ADP 就業的差別：
 
1. 樣本佔估計母體覆蓋率：非農高達 30% 、 ADP 則為 20%，兩者皆屬於可信度很高的數據。 

2. 採樣方式：美國為雙週發薪制，非農是將每月 12 日當週（須涵蓋 12 日，即 Week 2），有實際拿到薪水的民眾視為就業人口，而 ADP 則將當月有記載於企業薪資明細中的員工數量視為就業人口。

因此，當 Week 2（涵蓋 12 日當週）期間遇上暴風雪、颶風等天氣，部分服務業、營建業停工，員工未拿到薪水，非農數據就容易出現低估，而 ADP 則因統計當月資料，較不會遇上此問題。兩數據在天災特殊狀況下，常會出現分歧。","adp"
"37","美國-ISM製造業新訂單vs.生產","美國 ISM 製造業指數 2 大領先指標為「新訂單」與「生產」，可透露未來整體製造業的榮枯狀況。當新訂單與生產皆呈向上趨勢，美國製造業景氣將回溫，反之亦然。","ism-new-order"
"39","美國-各地區製造業指數","芝加哥、紐約、費城分別為美國 3 大製造業重鎮。芝加哥製造業指數以 50 為基準點；紐約與費城製造業指數則以 0 為基準點。

若指標大於基準點，代表情況好轉，反之亦然。","pmi-others"
"40","美國-ISM製造業-存貨指數","美國 ISM 製造業指數中，廠商與客戶端「存貨」如保持低檔，則代表整體製造業廠商有機會於未來增加訂單，進入回補庫存階段。

而透過將 2 個細項相減，可了解上下游庫存狀況。當存貨減去客戶存貨差值擴大時，表示客戶（終端）存貨處在低點，供應鏈在補庫存階段；當差值開始逐漸下滑甚至轉負數時，反映終端存貨持續增加，拉貨動能放緩，邁入去庫存階段，也暗示著製造業循環的結束。","ism-inventory"
"41","美國-ISM製造業與服務業-僱傭指數","就業市場為美國經濟核心 - 消費的重要動能，製造業和服務業的「企業僱傭指數」榮枯將領先影響後續公佈的最新 ADP 、非農新增就業狀況。","ism-employ"
"42","美國-ISM服務業-商業活動與新訂單","美國 ISM 服務業指數兩大領先指標為「新訂單」與「商業活動」，可透露未來整體服務業的榮枯狀況。

","non-pmi-business"
"43","美國-耐久財各項訂單(年增率)","耐久財新訂單及未完成訂單（年增率），可以視為企業補庫存階段結束的領先指標。拉長到過往 20 年間來看，平均約 3 至 4 年會出現一次循環，符合我們認為一波庫存循環約 3 至 4 年的時間點。

企業開始大量增加新訂單以回補庫存時，通常會導致未完成訂單逐漸積壓，然當未完成訂單成長追上（大於）新訂單時，通常也意味著企業發現消費無法消化目前庫存，而快速反應減少新訂單，出現未完成訂單在高檔、新訂單快速下降影響經濟的局勢。
","durable-goods-items"
"44","美國-企業存貨銷售比","存貨銷售比 = 當期累積存貨金額 / 當期銷售金額，即為按照最近的銷售速度需要多少天才能賣完存貨，是評價存貨水平是否過高或過低最常用的指標，以判斷企業去化庫存力道。","inventory-sales"
"45","美國-工業生產&產能利用率","美國工業生產指數及產能利用率，除了能反映國內廠商生產及終端消費需求外，亦與海外需求息息相關，如 2014 年 7 月沙烏地增產、油價重挫，美國頁岩油廠大量緊縮產能；或是 2018 下半年中美貿易關稅影響浮現，海外經濟、需求前景轉弱，皆會使兩指標下降。","production"
"46","美國-10年期減2年期公債利差","長天期公債殖利率常被拿來檢視該國景氣通膨狀況，短天期則常被拿來預測該國利率決策，兩者利差可代表著景氣循環的四個階段：

1. 經濟成長階段：
經濟活動強勁、通膨預期溫和，短利受央行升息影響上升較快，利差持續縮窄。

2. 經濟過熱階段：
經濟活動過熱、通膨預期強勁，迫使央行加快升息導致短利超越長利，利差反轉（翻負）。

3. 經濟衰退階段：
通膨抑制消費，利率高檔引發違約風險，整體經濟轉弱，央行降息刺激經濟，短利快速下降，利差開始擴大。

4. 經濟復甦階段：
央行維持寬鬆，債券殖利率曲線維持陡峭，長短利率穩定，利差高檔持穩。
","bonds-rate"
"47","VIX波動率指數","此指標反映 S&P 500 指數期貨的波動程度，測量未來 30 天市場預期的波動程度。

通常 VIX 指數超過 40 時，表示市場對未來出現非理性恐慌；低於 15 時，則出現非理性繁榮的預期。","vix"
"48","美國-基準利率","美國的基準利率是有效聯邦資金利率（Effective Federal Funds Rate，EFFR），為聯邦資金市場中，機構進行隔夜無擔保拆借資金的利率水準，由市場每日交易決定。​

美國聯邦公開市場委員會（FOMC）會在每年八次的會議中分析貨幣信貸總量的增長情況，對經濟增長及通貨膨脹進行重點討論，目的在於尋求經濟成長及通貨膨脹之間的平衡，據此原則訂定基準利率目標區間，並承諾市場將基準利率控制在區間內。

當景氣過熱時，通常會啟動升息循環以防泡沫；當景氣處在衰退時，則是啟動降息循環以增加市場的流動性。","target-rate"
"50","美元貿易加權指數","美元貿易加權匯率指數 （Trade Weighted US dollar Index）由 Fed 編製，採用 26 種貨幣作為參考。

美元一直是 M平方著重的循環關鍵因子，掌控著全球資金，掌控著新興市場的走勢，也是行情、循環進一步延伸的重點指標。 16 ~ 18 年一次的美元循環驚人的相似，通常 6 至 7 年多頭，搭配 10 年空頭。","us-dollar"
"51","美國-家庭資產負債表","美國家庭長期受惠股市、房市，因此淨資產持續攀升。不過，投資人應留意景氣衰退期間，股市、房市的修正會影響民眾對於未來財富的預期，更進一步縮減美國消費力道，使得家庭資產負債表有所變動。","us-balance-sheet"
"52","美國-公共債務/GDP","當景氣不佳時，政府為了救經濟便會增加公共債務，來為家庭債務去槓桿。但是當公共債務佔 GDP 比重持續增加，甚至超過 GDP 時，對一國長期的總體經濟體質會帶來不好的影響。","public-debt"
"53","美國-領先指標(經濟諮商局)＆GDP","此領先指標為經濟諮商局公佈，由以下 10 項指標統整編製而成。

1. 製造業員工平均每週工時
2. 初次申請失業救濟金人數
3. 製造業新訂單 - 消費性用品及相關原物料
4. ISM 新訂單
5. 製造業新訂單 - 扣除航空之非國防資本財
6. 建築許可 - 新增私人房屋單位數量
7. S&P 500 股價指數
8. 領先信用（貸）指數
9. 10 年期國庫券與聯邦基金之利率差
10. 消費者對商業狀況的平均預期

註：通常年增率出現衰退（< 0%）時，美國 GDP 皆在未來 2 至 3 季出現明顯下滑，屆時需特別留意衰退風險。","leading-gdp"
"54","美國-ISM製造業指數[Manufacturing PMI]","美國供應管理協會（Institute for Supply Management，ISM）每月針對製造業採購經理人進行問卷調查，內容包括新訂單、生產、僱傭指數、供應商交貨、存貨、客戶端存貨、價格、出口、未完成訂單、原物料輸入等 10 項指標，最後匯整成製造業採購經理人指數（Purchasing Managements' Index，PMI）。

製造業採購經理人指數（Manufacturing PMI）計算方式：

1. 針對新訂單、生產、僱傭指數、供應商交貨、存貨這 5 項指標，觀察經理人認為當月是「轉佳」、「持平」或「轉差」。

2. 再計算每個細項回答的人數：（認為更好的人數 / 總人數）x 1 +（認為持平的人數 / 總人數）x 0.5 +（認為變差的人數 / 總人數）x 0 。

3. 把新訂單、生產、僱傭指數、供應商交貨、存貨這 5 項指數加權計算，目前各項權重皆為 0.2 。意即製造業指數 PMI = 新訂單 x 0.2 + 生產 x 0.2 + 僱傭指數 x 0.2 + 供應商交貨 x 0.2 + 存貨 x 0.2 。

美國 ISM 製造業指數是市場非常重視的指標，不但意味美國本身狀況，同時也透露全球外需景氣。","ism"
"55","美國-ISM服務業指數[Services PMI]","美國供應管理協會（Institute for Supply Management，ISM）每月針對服務業採購經理人進行問卷調查，內容包括商業活動、新訂單、僱傭指數、供應商交貨、存貨、原物料價格、未完成訂單、新出口訂單、原物料進口、庫存景氣等十項指標，最後匯整成服務業指數（Services PMI）。

服務業指數計算方式與製造業指數雷同，只有在最後加權平均時所用的權重不同。

1. 針對商業活動、新訂單、僱傭指數、供應商交貨這四指標，觀察經理人認為當月是「轉佳」、「持平」或「轉差」三種狀況。

2. 再將每個細項回答的人數計算：（認為更好的人數 / 總人數）*1 +（認為持平的人數 / 總人數）*0.5 +（認為變差的人數 / 總人數）*0 。

3. 把商業活動、新訂單、僱傭指數、供應商交貨這四項指標加權計算，目前各項權重皆為 0.25 。意即非製造業指數 NMI = 商業活動 * 0.25 + 新訂單 * 0.25 + 雇員 * 0.25 + 供應商交貨 * 0.25 。

美國近八成為服務業，該指數可代表美國整體內需狀況。觀察過往，僅有在美國本身出現衰退時，才會位於 50 基準點之下。","ism-nonmanu"
"56","美國-領先、同時、落後指標","三項指標與景氣循環四階段的關係：

1. 經濟成長階段：就業好轉、收入提升，「同時指標」逐漸上揚。

2. 經濟過熱階段：隨著通膨升溫「落後指標」開始走升，此時消費與通膨開始拉扯。

3. 經濟衰退階段：「領先指標」相關經濟數據無法持續好轉，使得「領先指標」出現回落，但「同時指標」、「落後指標」卻不斷創高，顯示消費無法支撐快速上升的通膨，經濟衰退風險正逐漸堆積。

4. 經濟復甦階段：經濟數據好轉，「領先指標」率先向上。","leading-lagging-indicator"
"57","歐元/美元",,"euro-usd"
"58","英鎊/美元",,"gbp-usd"
"59","美元/日圓","日圓是利差交易（Carry Trade）中的融資貨幣標的，也具有避險貨幣的屬性。利差交易指借入利率較低的貨幣，然後買入並持有較高收益的貨幣，藉此賺取兩者間的利息差異；此外，當國際市場間的風險升溫時，投資者也傾向將資產移轉為日圓。","yen-dollar"
"60","美元/加幣",,"cad-usd"
"61","墨西哥-披索","美元/墨西哥披索上行代表披索貶值（圖中走勢向上），反之則升值（圖中走勢向下）。","peso-usd"
"62","美國-零售銷售分項(年增率)","零售銷售可拆解成兩個細項：35% 的「耐久財」、 65% 的「非耐久財」。主要項目佔比如下：

1. 汽車（20 ~ 22%）
2. 食品飲料（10 ~ 15%）
3. 百貨業（10 ~ 13%）
4. 餐飲業（11 ~ 12%）
5. 電子商務（9 ~ 11%）
6. 加油站（8 ~ 10%）

汽車佔比最高，是評估美國經濟的關鍵風向球。此外，近年電子商務成長快速，絕對值及佔比亦不斷上升，須特別留意。

註：本圖組為年增率，較能排除季節性因素所造成的波動。","retail-sales-items"
"63","美國-GDP消費-商品&服務(貢獻度)","在美國 GDP 的消費細項中，服務類、商品類金額佔比約 65 : 35 。可從服務類的變動觀察美國經濟長線是否受到衝擊，商品類則包含耐久財與非耐久財，通常波動較為劇烈且短期。","gdp-goods-services"
"64","美國-景氣循環圖","「景氣循環圖」為統整影響景氣的各項因子，所得出各時期該國位在的景氣循環位置圖。

第一象限：景氣擴張，適合投資風險性商品（如：股票）
第二象限：成長稍微趨緩，開始觀察景氣是否回穩（如美股、原物料。）
第三象限：景氣衰退，適合投資避險性商品（如：現金、黃金、債券）
第四象限：景氣復甦，持續持有低風險商品（如：債券），但同時適合逐步買進風險性商品（如：股票、原物料。）

根據 M平方量化統計，投資美國股市投資在第一、二、四象限勝率與報酬率較高。而當美國景氣落點於第三象限時，不只美股，全球風險性資產都會面臨一定程度的修正。

註：圖中數據點行經軌跡代表過去 12 個月數值。","econ-cycle"
"65","美國-非農就業(月變動)","從非農就業月增細項可以看出各產業的短期新增動能，主要分為商品生產業與服務業。 

商品生產業：以礦業、營建業及製造業為主，佔美國總就業人口約 14% 。通常對於經濟變化較為敏感（每月變動較大），可用於觀察景氣循環轉折的時刻，例如當景氣將從強勁轉向趨緩時，商品生產會領先轉弱。 

服務業：美國就業市場的中堅力量，佔美國總就業人口高達 71%，其中又以專業技術、金融業、教育醫療等行業為新增僱員較為強勢的產業。當服務業出現長期增長，反映了美國經濟的成長趨勢；反之，當服務業出現轉弱（翻負）時，通常也代表著美國經濟衰退的來臨。","non-farm-items"
